rainfall_mm	temperature_c	soil_ph	fertilizer_kg_ha	pesticide_ml_ha	area_hectares	crop_type	yield_tons_ha
223.8	11.6	4.5	191.3	69.9	7.33	Maize	2.96
908.8	27.2	7.6	155.4	9.0	11.51	Rice	3.36
1146.2	30.7	7.5	157.4	88.8	29.07	Rice	4.23
1008.4	19.8	4.5	124.7	90.9	13.62	Maize	3.2
1188.7	28.4	6.0	167.8	10.5	33.24	Wheat	4.81
1143.4	11.6	6.9	151.8	99.1	30.6	Wheat	3.94
1099.6	13.0	6.3	119.8	29.8	5.85	Soybean	3.11
1268.0	31.1	7.6	192.2	8.4	32.97	Rice	4.66
1039.4	21.0	6.2	38.3	0.5	46.24	Rice	2.55
723.1	30.1	5.1	188.7	40.9	8.47	Maize	3.86
813.5	35.0	8.4	80.3	63.0	30.05	Maize	3.24
1131.7	35.6	5.5	105.7	33.2	17.42	Maize	3.36
1339.2	15.2	7.4	24.5	83.7	23.25	Maize	2.77
553.9	24.6	5.1	108.0	71.7	14.71	Maize	2.63
644.7	32.0	5.8	122.2	35.0	18.03	Wheat	2.52
1410.0	33.2	6.3	199.5	73.4	1.93	Wheat	4.82
952.1	33.5	5.3	195.0	94.0	49.09	Maize	4.4
432.7	16.8	6.3	193.3	9.3	31.43	Wheat	3.15
1062.8	15.8	5.1	69.7	30.6	25.28	Maize	2.51
1488.0	27.7	6.7	198.3	46.3	19.49	Maize	5.31
1270.5	32.2	7.2	91.1	49.8	27.2	Rice	4.02
1169.5	19.6	4.7	170.4	54.2	19.32	Wheat	4.04
470.5	13.1	8.0	43.3	30.1	18.32	Wheat	0.5
1339.0	31.5	5.2	101.2	66.7	23.47	Rice	3.61
883.5	19.0	5.4	193.2	64.5	14.16	Wheat	3.74
1356.1	15.0	7.1	189.4	57.8	9.41	Rice	4.98
628.8	14.4	6.4	136.7	11.4	28.05	Soybean	2.39
280.7	19.4	6.5	159.6	47.7	42.22	Wheat	2.45
818.8	27.8	5.0	35.3	35.6	8.06	Maize	2.46
550.8	20.8	7.7	144.3	49.1	2.12	Rice	2.73
1129.8	10.6	7.0	123.6	92.2	12.72	Maize	3.78
1444.2	12.9	5.0	18.3	48.1	49.0	Maize	3.21
1098.3	18.7	6.0	22.6	1.4	41.52	Wheat	2.03
1353.0	29.8	7.7	21.7	43.9	30.0	Rice	3.18
788.9	13.0	6.8	144.9	82.1	46.5	Soybean	3.13
1203.1	26.8	4.9	28.3	78.0	22.54	Maize	3.34
1296.0	13.6	6.0	93.5	51.3	49.17	Maize	2.98
1124.1	16.3	5.5	71.4	25.0	15.17	Soybean	2.34
860.1	15.2	6.6	110.1	46.5	12.4	Rice	2.72
1013.6	12.0	7.9	141.3	56.4	32.08	Wheat	3.16
1110.7	30.1	6.2	136.9	100.0	19.22	Maize	4.02
529.0	23.9	6.2	103.1	64.4	31.51	Wheat	2.55
1252.5	34.9	8.1	92.9	69.4	15.6	Rice	3.73
1435.4	13.0	6.8	79.6	49.1	31.09	Soybean	3.39
804.8	14.3	6.8	172.4	35.4	14.15	Wheat	3.16
1111.4	19.2	5.5	66.2	81.3	3.02	Rice	3.06
1158.1	33.0	6.9	51.9	49.5	45.65	Wheat	2.58
1060.9	19.2	6.8	148.7	99.5	44.22	Wheat	3.91
911.2	22.3	6.1	72.0	45.7	48.55	Maize	2.33
1346.1	19.0	8.5	169.4	6.8	35.97	Wheat	4.56
783.6	12.4	8.0	65.6	68.3	34.29	Maize	1.93
279.4	38.2	7.5	140.4	4.7	28.17	Rice	1.97
1297.9	26.5	6.6	9.0	25.1	6.73	Rice	2.32
1076.2	33.6	6.3	77.1	35.4	9.87	Maize	2.7
1304.0	29.8	5.2	68.6	73.9	14.83	Soybean	4.14
380.1	25.4	5.7	163.3	49.4	44.56	Wheat	2.75
240.0	12.7	7.6	193.4	2.9	9.06	Rice	2.23
1414.7	29.3	6.3	92.2	61.7	46.18	Rice	3.71
392.0	14.7	8.0	165.0	41.1	26.38	Soybean	2.13
1252.5	22.4	5.1	139.9	92.2	35.92	Rice	5.05
1270.2	28.9	6.5	193.5	50.0	5.96	Maize	5.07
1121.3	33.5	7.1	162.2	70.9	13.82	Soybean	4.24
370.6	30.6	6.6	15.5	21.9	47.95	Rice	0.5
1067.6	30.1	8.1	142.7	76.1	13.67	Soybean	4.15
1355.8	14.5	8.5	107.1	72.1	15.18	Soybean	4.23
753.2	20.4	5.0	3.3	90.4	10.28	Rice	2.11
737.6	11.3	5.0	50.3	3.4	6.89	Rice	1.64
775.7	31.6	5.0	184.4	44.8	12.05	Rice	3.41
307.0	38.6	7.2	185.2	67.9	32.3	Soybean	2.68
1359.6	17.9	6.0	159.8	9.5	23.04	Maize	4.61
1329.9	12.6	7.4	196.4	41.1	27.91	Maize	4.16
1497.3	24.3	6.1	161.3	94.2	6.56	Wheat	5.11
960.7	35.7	7.0	2.0	43.6	40.2	Rice	1.9
1176.5	26.6	7.6	57.6	98.5	39.31	Maize	3.75
463.5	11.4	6.7	6.1	5.7	1.57	Wheat	0.5
1067.8	39.2	6.7	18.8	71.8	19.48	Wheat	2.26
1044.7	34.9	4.9	43.8	58.1	3.9	Rice	2.46
1371.6	13.9	6.1	100.7	50.1	39.71	Wheat	3.93
1280.0	37.7	6.7	169.5	97.1	36.99	Maize	4.34
1420.0	23.5	6.3	172.4	13.0	45.15	Wheat	5.18
1329.5	21.2	8.1	123.2	89.6	12.2	Wheat	4.71
1329.3	23.8	8.1	185.6	69.1	23.09	Maize	5.16
282.8	35.0	7.8	100.0	25.9	9.63	Wheat	1.45
1299.8	29.8	6.0	177.8	90.2	18.88	Wheat	4.84
989.7	11.8	7.4	90.8	42.9	26.35	Soybean	3.16
694.6	38.7	6.1	55.4	81.4	3.14	Wheat	1.77
273.5	14.4	5.4	183.3	38.9	35.89	Wheat	2.23
1081.0	32.4	5.9	77.6	85.1	27.39	Soybean	2.97
626.7	29.1	4.8	100.7	63.7	41.53	Soybean	2.66
808.1	15.6	5.8	65.8	14.1	13.95	Soybean	2.27
1086.2	15.1	6.3	132.6	65.0	45.21	Rice	3.26
1385.3	36.1	8.3	199.0	19.1	49.94	Rice	5.35
1273.1	22.6	5.8	5.1	41.2	46.01	Maize	2.79
785.8	29.6	8.1	180.0	17.0	39.01	Wheat	3.82
704.1	25.1	5.4	0.8	2.2	40.71	Maize	1.4
511.7	31.8	5.3	72.8	21.2	28.9	Rice	1.71
684.2	24.4	6.6	33.7	53.6	9.91	Wheat	1.98
344.4	18.6	7.2	151.5	48.2	34.01	Wheat	2.81
1462.4	20.9	4.7	10.1	50.1	35.78	Soybean	3.09
946.1	35.8	5.4	110.7	24.8	49.28	Rice	3.09
366.1	24.0	6.3	59.0	68.5	27.29	Wheat	1.63
658.6	16.4	5.8	26.7	70.4	13.93	Soybean	1.63
911.2	38.0	7.4	154.4	35.8	34.34	Wheat	3.04
892.8	33.9	6.5	43.5	88.1	48.98	Rice	2.69
246.2	11.7	5.1	44.7	64.4	9.27	Maize	0.5
1436.1	40.0	8.1	55.0	71.3	16.64	Maize	3.07
558.0	30.8	5.7	117.4	27.7	27.32	Wheat	2.34
221.0	14.8	7.4	131.9	0.1	8.93	Soybean	1.48
299.4	17.1	7.6	3.5	86.5	1.6	Soybean	0.9
954.3	30.8	8.4	48.4	82.2	17.18	Soybean	2.54
379.1	33.4	6.5	86.2	12.3	43.34	Rice	1.9
254.2	17.2	7.0	66.4	37.4	2.65	Maize	0.89
693.5	17.7	5.8	176.8	66.1	21.73	Maize	3.61
1009.6	19.2	7.2	157.5	65.2	38.23	Wheat	3.79
345.4	27.9	6.4	125.2	86.0	47.68	Maize	2.67
607.3	15.2	6.3	67.6	14.0	49.28	Soybean	1.63
743.1	13.1	7.9	140.1	43.0	21.39	Rice	2.81
407.3	30.4	4.7	168.7	9.7	47.54	Soybean	3.06
857.9	33.4	8.0	119.0	39.0	2.25	Soybean	2.78
310.8	25.0	7.9	156.9	1.5	37.42	Maize	2.77
260.5	20.9	6.5	149.8	89.8	32.32	Rice	2.41
875.8	23.0	6.5	114.3	52.7	12.85	Rice	3.38
522.3	21.7	5.9	62.4	85.0	25.61	Soybean	1.73
324.0	38.8	8.5	149.2	6.0	6.91	Wheat	1.65
751.1	33.0	4.9	41.4	22.7	43.64	Maize	1.71
1389.7	16.2	6.9	155.9	25.9	18.22	Wheat	4.96
1141.5	21.5	7.2	160.9	38.7	31.49	Soybean	4.34
1260.3	26.3	8.2	164.4	80.3	8.36	Maize	5.41
1333.5	28.4	7.6	94.6	38.7	10.71	Wheat	3.94
1464.4	24.0	7.1	38.5	20.5	49.6	Wheat	3.35
1192.2	34.3	5.0	19.9	6.5	37.78	Wheat	2.66
990.9	33.0	6.0	148.7	7.9	48.12	Maize	3.61
675.1	25.2	5.1	177.3	76.0	15.14	Wheat	3.74
436.1	35.6	8.0	130.2	44.5	8.65	Rice	2.33
1092.7	32.5	7.5	28.8	72.6	25.4	Soybean	2.45
1493.4	33.4	7.5	187.0	68.2	24.99	Maize	4.65
807.6	38.7	7.1	197.8	13.5	9.16	Rice	3.75
1140.8	18.0	6.5	86.7	14.3	36.79	Wheat	3.42
843.6	18.0	5.1	119.0	75.5	18.41	Soybean	3.75
761.5	36.7	5.8	155.4	72.1	9.73	Wheat	3.37
733.4	33.2	5.0	147.3	37.8	16.93	Rice	3.01
856.0	37.8	7.4	193.6	7.7	28.4	Wheat	3.78
677.0	11.9	5.1	23.0	1.2	36.46	Maize	1.25
1173.4	28.8	7.3	116.1	28.8	24.35	Rice	4.24
1336.6	14.3	7.3	138.4	0.9	26.52	Maize	3.86
1347.8	25.1	6.3	178.0	23.0	7.38	Soybean	4.98
496.0	14.7	5.0	174.8	42.0	45.78	Maize	2.66
1364.7	13.8	5.8	195.6	12.1	46.47	Maize	4.84
644.0	10.4	5.8	102.4	10.4	34.33	Wheat	1.43
602.1	28.9	7.3	166.2	89.6	1.37	Wheat	3.77
1144.8	20.8	5.0	85.5	58.5	27.09	Rice	3.62
596.1	13.2	7.8	84.5	93.4	31.65	Soybean	2.3
268.9	19.7	7.5	50.7	34.6	49.74	Rice	1.12
685.7	15.1	5.2	163.6	67.7	49.81	Soybean	3.72
1137.9	38.3	7.4	197.2	20.5	42.95	Soybean	4.44
625.0	19.6	7.2	51.3	61.8	3.66	Maize	1.75
1018.4	20.0	7.5	11.2	13.0	47.69	Wheat	1.82
1058.2	35.2	5.3	163.1	0.2	30.83	Soybean	3.38
1153.9	29.4	5.1	124.0	93.2	40.14	Wheat	4.27
1366.3	31.3	5.4	191.9	55.5	20.66	Soybean	4.79
762.3	29.1	6.0	50.4	92.7	16.32	Wheat	2.74
416.4	38.4	7.7	14.2	33.4	23.43	Rice	0.9
614.6	16.2	7.5	98.5	32.8	7.77	Wheat	1.92
761.8	39.7	8.2	17.1	40.1	18.17	Maize	1.15
1128.1	34.9	4.7	52.4	70.6	42.95	Soybean	2.77
217.1	27.7	4.5	25.2	56.6	2.38	Maize	1.16
610.5	29.9	7.3	44.8	92.5	7.97	Soybean	2.48
1213.8	29.5	5.6	21.2	2.5	6.69	Maize	1.97
1072.1	11.8	5.8	190.8	70.8	20.45	Soybean	4.13
1151.3	16.5	6.7	55.7	33.0	49.85	Wheat	2.66
1255.4	38.8	4.9	88.8	18.0	9.08	Soybean	2.6
1218.2	26.0	7.1	179.7	51.0	7.7	Maize	4.74
