pm25	pm10	no2	co	temperature_c	humidity_pct	wind_speed_mps	aqi
90.2	151.9	72.5	1.71	0.0	85	9.9	196
32.8	78.1	74.6	0.23	25.9	35	10.6	87
16.3	30.0	19.0	2.28	8.8	72	6.1	34
73.6	138.9	68.1	0.62	1.7	84	8.2	162
25.8	56.0	6.4	3.13	14.0	83	24.6	21
8.4	16.7	62.6	3.14	38.4	87	9.2	38
22.3	35.4	85.2	0.29	13.5	82	13.2	37
31.5	59.5	13.4	1.52	10.6	81	21.2	37
50.5	80.5	113.0	2.13	15.0	90	13.2	112
73.9	124.9	57.8	2.8	-4.5	64	8.1	166
14.5	21.9	112.9	1.55	1.0	71	13.1	49
9.2	15.5	17.4	1.51	33.2	93	2.9	23
6.9	12.6	114.2	4.92	39.0	84	3.3	67
38.5	78.5	17.6	0.31	2.1	21	17.4	53
44.6	107.9	58.1	4.95	19.1	68	22.9	103
18.2	37.1	112.9	0.33	38.5	41	18.1	31
17.6	38.8	31.8	1.51	2.0	48	1.9	57
82.1	152.5	9.0	2.52	3.4	54	10.1	167
67.1	151.1	96.2	0.8	36.7	43	0.1	187
11.6	24.6	73.5	0.76	26.8	49	12.8	26
42.9	84.1	64.1	1.36	1.8	61	4.8	100
29.4	49.8	8.9	4.87	12.7	90	21.7	40
9.2	16.6	80.1	1.96	-2.5	69	2.6	48
16.0	33.9	24.7	2.87	14.5	90	0.0	57
9.9	19.1	112.1	3.55	30.0	79	11.3	61
13.7	32.7	83.9	3.74	19.9	49	3.9	75
28.9	50.1	86.3	3.47	24.1	31	18.4	66
16.8	26.4	31.7	1.75	9.7	68	23.0	0
17.5	36.6	106.3	0.65	2.3	65	1.0	69
24.4	58.2	66.8	1.48	-4.4	62	9.9	69
7.3	13.6	103.6	1.13	32.0	21	24.9	2
38.6	82.9	36.2	0.77	23.6	94	18.3	72
17.8	30.8	91.9	0.22	5.3	73	23.8	18
21.4	44.1	71.1	4.69	13.8	54	4.1	84
96.5	220.7	10.6	4.61	31.1	71	5.5	249
15.6	36.9	51.6	0.35	19.2	52	3.9	41
31.1	49.9	26.1	0.95	8.5	91	7.6	68
17.5	32.5	46.3	0.78	7.0	70	18.1	22
61.2	130.9	49.1	1.48	4.8	45	4.1	168
51.9	79.7	59.6	1.1	32.1	81	13.1	95
11.9	26.1	74.0	4.73	21.2	80	6.7	67
34.4	69.8	70.7	0.51	26.9	45	20.7	59
6.7	12.0	9.5	1.14	33.7	56	0.2	21
87.5	202.5	91.3	0.5	39.4	49	5.6	226
15.7	28.1	114.2	4.9	6.2	30	15.1	62
49.6	123.6	45.1	4.6	3.1	72	2.4	149
14.6	33.8	25.7	3.61	15.8	60	11.7	36
30.0	66.2	67.1	2.19	-3.4	24	10.9	79
107.7	168.2	86.1	1.03	30.6	85	21.3	199
57.3	137.8	83.1	1.19	34.8	32	15.6	140
9.4	21.5	75.4	2.27	25.9	82	16.0	22
24.8	42.9	21.8	3.86	7.1	44	23.8	31
15.7	29.7	101.2	1.4	0.5	63	24.6	23
19.2	34.0	53.9	1.62	12.2	33	16.3	33
15.2	37.8	30.5	3.04	32.5	88	13.1	28
15.2	35.8	14.9	1.26	10.7	78	15.2	21
24.6	59.8	52.9	2.96	-3.5	75	9.6	66
10.3	23.6	76.1	2.0	7.3	71	24.7	6
24.3	47.5	81.5	0.27	39.5	85	17.6	40
13.2	22.5	115.7	2.07	25.5	87	7.3	57
13.5	23.1	22.6	4.61	35.5	31	1.4	54
38.6	63.8	118.4	1.54	29.9	94	1.1	122
5.8	11.9	80.3	1.68	19.3	87	5.1	35
17.0	41.1	57.2	0.42	1.7	62	5.8	46
18.1	45.1	107.1	3.11	10.7	92	10.4	62
21.6	38.6	84.9	4.26	21.3	93	5.4	85
32.6	71.6	45.1	1.83	34.2	25	15.8	68
16.5	34.6	106.7	1.28	7.1	34	5.3	69
11.0	21.9	81.7	4.79	0.5	61	4.7	62
59.0	127.8	85.4	3.75	20.1	50	11.8	157
104.1	194.8	108.1	2.88	2.9	72	22.2	221
5.5	13.4	56.6	1.6	22.5	25	11.7	11
24.8	54.7	80.5	1.18	6.9	52	10.3	65
15.5	34.9	90.6	3.61	5.4	48	14.5	56
13.1	22.8	57.2	2.66	13.0	40	6.4	43
